流程,步骤序号,步骤名,描述,NPC,位置
定制产品生产流程,12,仓管员制生产退料入库单,填写生产退料入库单,仓管员B,仓库
定制产品生产流程,13,1车间工人签字确认退料,在生产退料入库单上签字,1车间工人,仓库
定制产品生产流程,14,1车间班组长检查并填写工序汇报单,弯管生产完成后检查；填写工序汇报单,1车间班组长,1车间-弯管
定制产品生产流程,15,1车间工人将半成品送往2车间,将弯管半成品送往2车间（焊接车间）,1车间工人,2车间-焊接
定制产品生产流程,16,2车间主管填写生产工单,填写2车间（焊接车间）生产工单,2车间主管,2车间-焊接
定制产品生产流程,17,2车间班组长填写派工单,查看2车间生产工单；填写工人个人的派工单,2车间班组长,2车间-焊接
定制产品生产流程,18,2车间工人到备料区领料,查看自己的派工单，根据派工单到备料区领料,2车间工人,备料区
定制产品生产流程,19,2车间工人填写领料单,填写领料单,2车间工人,备料区
定制产品生产流程,20,2车间工人生产,工人进行焊接生产操作,2车间工人,2车间-焊接
定制产品生产流程,21,2车间工人退料实物送仓库,将生产多余物料退回仓库,2车间工人,仓库
定制产品生产流程,22,仓管员质检确认退料,对2车间退料进行质检确认,仓管员B,仓库
定制产品生产流程,23,仓管员制生产退料入库单,填写生产退料入库单,仓管员B,仓库
定制产品生产流程,24,2车间工人签字确认退料,在生产退料入库单上签字,2车间工人,仓库
定制产品生产流程,25,2车间班组长检查并填写工序汇报单,焊接生产完成后检查；填写工序汇报单,2车间班组长,2车间-焊接
定制产品生产流程,26,2车间工人将半成品送往3车间,将焊接半成品送往3车间（配电车间）,2车间工人,3车间-配电
定制产品生产流程,27,3车间主管填写生产工单,填写3车间（配电车间）生产工单,3车间主管,3车间-配电
定制产品生产流程,28,3车间班组长填写派工单,查看3车间生产工单；填写工人个人的派工单,3车间班组长,3车间-配电
定制产品生产流程,29,3车间工人到备料区领料,查看自己的派工单，根据派工单到备料区领料,3车间工人,备料区
定制产品生产流程,30,3车间工人填写领料单,填写领料单,3车间工人,备料区
定制产品生产流程,31,3车间工人生产,工人进行配电生产操作,3车间工人,3车间-配电
定制产品生产流程,32,3车间工人退料实物送仓库,将生产多余物料退回仓库,3车间工人,仓库
定制产品生产流程,33,仓管员质检确认退料,对3车间退料进行质检确认,仓管员B,仓库
定制产品生产流程,34,仓管员制生产退料入库单,填写生产退料入库单,仓管员B,仓库
定制产品生产流程,35,3车间工人签字确认退料,在生产退料入库单上签字,3车间工人,仓库
定制产品生产流程,36,3车间班组长检查并填写工序汇报单,配电生产完成后检查；填写工序汇报单,3车间班组长,3车间-配电
定制产品生产流程,37,3车间工人将半成品送往4车间,将配电半成品送往4车间（总装车间）,3车间工人,4车间-总装
定制产品生产流程,38,4车间主管填写生产工单,填写4车间（总装车间）生产工单,4车间主管,4车间-总装
定制产品生产流程,39,4车间班组长填写派工单,查看4车间生产工单；填写工人个人的派工单,4车间班组长,4车间-总装
定制产品生产流程,40,4车间工人到备料区领料,查看自己的派工单，根据派工单到备料区领料,4车间工人,备料区
定制产品生产流程,41,4车间工人填写领料单,填写领料单；点：提交,4车间工人,备料区
定制产品生产流程,42,4车间工人总装,4车间负责组装来自1/2/3车间的半成品,4车间工人,4车间-总装
定制产品生产流程,43,4车间工人将成品送往仓库,组装完成后由4车间工人将成品送往仓库,4车间工人,仓库
定制产品生产流程,44,仓管员质检确认成品,对成品进行质检确认,仓管员B,仓库
定制产品生产流程,45,仓管员填写完工入库单,填写完工入库单；工人可查看,仓管员B,仓库
定制产品生产流程,46,工人在完工入库单签字,工人在完工入库单上签字,4车间工人,仓库
定制产品生产流程,47,自动通知销售员产品入库,系统自动通知销售员产品已入库,系统,-
标准产品主流程,1,流程开始,欢迎进入标准产品流程，即将进行分支选择,系统,主界面
标准产品主流程,2,选择分支,请选择要完成的流程分支 [1]销售-PMC [2]销售-发货 [3]生产流程 [4]采购流程,系统,主界面
标准产品主流程,3,继续分支,请选择下一个分支流程 [1]销售-PMC [2]销售-发货 [3]生产流程 [4]采购流程,系统,主界面
标准产品主流程,4,继续分支,请选择下一个分支流程 [1]销售-PMC [2]销售-发货 [3]生产流程 [4]采购流程,系统,主界面
标准产品主流程,5,继续分支,请选择最后一个分支流程 [1]销售-PMC [2]销售-发货 [3]生产流程 [4]采购流程,系统,主界面
标准产品主流程,6,流程结束,所有流程已完成，任务圆满结束！,系统,主界面
销售-PMC流程,1,填写销售计划,销售总监填写下月月度销售计划,销售总监,销售办公室
销售-PMC流程,2,提交销售计划,提交销售计划给PMC,销售总监,销售办公室
销售-PMC流程,3,查看销售计划,PMC查看订单、库存、在制、在途等情况,PMC主管,计划物控中心
销售-PMC流程,4,回复交期,PMC回复销售产品交期,PMC主管,计划物控中心
销售-PMC流程,5,制作生产计划,PMC制作一周生产计划,PMC主管,计划物控中心
销售-PMC流程,6,提交生产计划,提交生产计划，生产主管可查看,PMC主管,计划物控中心
销售-PMC流程,7,制作采购计划,PMC制作两周采购计划,PMC主管,计划物控中心
销售-PMC流程,8,提交采购计划,提交采购计划，采购主管可查看,PMC主管,计划物控中心
标准产品生产流程,1,PMC填写排产单,PMC主管填写排产单，点击提交后生产主管可查看,PMC主管,PMC部
标准产品生产流程,2,仓管员发料,仓管员根据排产单发料,仓管员,质检区
标准产品生产流程,3,车间主管派工,车间主管进行派工,车间主管,生产部
标准产品生产流程,4,班组长填派工单,车间班组长填写派工单,车间班组长,生产区
标准产品生产流程,5,工人领料,工人到仓库领料,工人,备料区
标准产品生产流程,6,工人生产,工人进行生产作业,工人,生产区
标准产品生产流程,7,工序汇报,车间班组长进行工序汇报,车间班组长,生产区
标准产品生产流程,8,半成品转运,工人将半成品转运到下一工序,工人,生产区
标准产品生产流程,9,4车间组装,工人在4车间进行组装,工人,生产区
标准产品生产流程,10,成品入库,仓管员将成品入库,仓管员,质检区
标准产品原料采购流程,1,PMC制作两周采购计划,PMC制作两周采购计划，点击提交后采购主管可查看,PMC主管,PMC部
标准产品原料采购流程,2,采购主管审核采购计划,采购主管审核两周采购计划，点击审核后自动下推,采购主管,采购部
标准产品原料采购流程,3,跟单员查看采购计划,跟单员查看采购计划,跟单员,采购部
标准产品原料采购流程,4,跟单员填采购订单,跟单员填写采购订单并邮件给供应商,跟单员,采购部
标准产品原料采购流程,5,供应商送货,供应商电话联系跟单员后送货,供应商,供应商处
标准产品原料采购流程,6,供应商填送货通知单,供应商填写送货通知单（随货）,供应商,供应商处
标准产品原料采购流程,7,仓库到货收货,仓库进行到货收货,仓管员,质检区
标准产品原料采购流程,8,跟单员制收料通知单,跟单员制作收料通知单，点击提交后自动下推,跟单员,采购部
标准产品原料采购流程,9,仓管员查看收料通知单,仓管员查看收料通知单，进行质检,仓管员,质检区
标准产品原料采购流程,10,仓管员填来料检验单,仓管员填写来料检验单，点击提交后自动下推,仓管员,质检区
标准产品原料采购流程,11,仓管员填采购入库单,仓管员填写采购入库单,仓管员,质检区
标准产品发货流程,1,客户下单,客户通过官网选择机型、数量，点击下单，自动生成销售订单,客户,系统
标准产品发货流程,2,审核销售订单,销售总监审核销售订单，点击审核后仓库可查看,销售总监,销售部
标准产品发货流程,3,查看销售订单,仓管员查看销售订单,仓管员,质检区
标准产品发货流程,4,检查库存,仓管员检查现有库存,仓管员,质检区
标准产品发货流程,5,PMC填写排产单,PMC填写每日排产单，提交后自动下推给仓管员和车间主管,PMC主管,PMC部
标准产品发货流程,6,仓管员发料,仓管员按生产用料清单发料到备料区,仓管员,质检区
标准产品发货流程,7,车间主管派工,车间主管按生产工单派工给班组长，填写4个车间的工序计划单,车间主管,生产部
标准产品发货流程,8,班组长填派工单,1/2/3/4车间班组长查看工序计划单，填写工人个人派工单,车间班组长,生产区
标准产品发货流程,9,工人领料,工人查看派工单，到备料区领料并填写领料单,工人,备料区
标准产品发货流程,10,工人生产,工人进行生产加工,工人,生产区
标准产品发货流程,11,工序汇报,1/2/3车间班组长检查并填写工序汇报单,车间班组长,生产区
标准产品发货流程,12,半成品转运,1/2/3车间员工将半成品送往4车间,工人,生产区
标准产品发货流程,13,4车间组装,4车间负责组装，组装完成后将成品送往仓库,工人,生产区
标准产品发货流程,14,成品入库,成品入库，更新库存,仓管员,质检区
标准产品发货流程,15,填写发货通知单,仓管员填写发货通知单,仓管员,质检区
标准产品发货流程,16,审核发货通知单,仓库主管审核发货通知单,仓库主管,仓库部
标准产品发货流程,17,包装出库,仓库包装出库，发货完成,仓管员,质检区
标准产品发货流程,18,填写销售出库单,仓管员填写销售出库单（由发货通知单下推）,仓管员,质检区
标准产品发货流程,19,审核销售出库单,仓库主管审核销售出库单,仓库主管,仓库部
标准产品发货流程,20,客户签收,客户收货，在发货通知单上签字,客户,客户处
